,er,kprf,ldpr,others,er_normalized
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,221.0,49.0,84.0,52.0,79.90394878781207
5,0.0,0.0,0.0,0.0,0.0
6,218.0,49.0,30.0,39.0,59.927961590859056
7,247.0,40.0,22.0,17.0,26.122444796015486
8,432.0,32.0,37.0,61.0,93.73347838570263
9,3.0,2.0,4.0,6.0,9.219686398593701
10,435.0,122.0,99.0,130.0,199.75987196953017
11,189.0,87.0,135.0,144.0,221.2724735662488
12,229.0,35.0,66.0,69.0,106.02639358382756
13,1213.0,369.0,458.0,601.0,923.5052542591357
14,1090.0,486.0,446.0,564.0,866.6505214678078
15,1369.0,447.0,674.0,742.0,1140.1678846260877
16,3291.0,1343.0,1582.0,2021.0,3105.4977019263115
17,3792.0,1268.0,1975.0,1934.0,2971.812249146703
18,7676.0,3275.0,3631.0,4467.0,6864.05652375301
19,9929.0,4708.0,5682.0,5620.0,8635.772926682766
20,16980.0,7550.0,8532.0,9355.0,14375.027709807344
21,23735.0,10055.0,12117.0,13699.0,21050.080662389184
22,31563.0,13984.0,16701.0,19298.0,29653.584686676873
23,48285.0,20152.0,23588.0,29179.0,44836.87157076093
24,68951.0,28538.0,34514.0,40192.0,61759.605955379666
25,102201.0,43175.0,47962.0,63617.0,97754.79826988924
26,138835.0,58842.0,63765.0,85418.0,131254.52879917945
27,166211.0,69599.0,75305.0,107562.0,165281.31806758928
28,207531.0,86589.0,95468.0,134227.0,206255.14103733943
29,291564.0,122714.0,130186.0,192990.0,296551.21301076637
30,366040.0,151202.0,160703.0,243393.0,374001.18860215275
31,443609.0,183626.0,189188.0,300707.0,462070.7063103193
32,524299.0,215443.0,225415.0,347423.0,533855.1846097698
33,583061.0,240928.0,247378.0,386689.0,594191.8856309666
34,600324.0,241825.0,249446.0,390819.0,600538.1031019986
35,611756.0,248260.0,262078.0,388640.0,597189.8203249093
36,650763.0,264120.0,271884.0,416307.0,639703.3309232246
37,632460.0,247599.0,258508.0,378590.0,581746.8456072649
38,633937.0,253063.0,262960.0,376953.0,579231.4078348485
39,647829.0,243973.0,261189.0,362515.0,557045.7691310325
40,616411.0,234210.0,250694.0,336551.0,517149.11285551806
41,596256.0,222419.0,236585.0,316207.0,485888.2295066864
